"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2015","Czechia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","288.35",""
"2015","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","52.66",""
"2015","Denmark","Intentional homicide","Per hundred thousand inhabitants","0.92",""
"2015","Denmark","Attempted intentional homicide","Per hundred thousand inhabitants","2.49",""
"2015","Denmark","Assault","Per hundred thousand inhabitants","25.80",""
"2015","Denmark","Kidnapping","Per hundred thousand inhabitants",":",""
"2015","Denmark","Sexual violence","Per hundred thousand inhabitants","46.13",""
"2015","Denmark","Rape","Per hundred thousand inhabitants","18.57",""
"2015","Denmark","Sexual assault","Per hundred thousand inhabitants","27.56",""
"2015","Denmark","Robbery","Per hundred thousand inhabitants","35.94",""
"2015","Denmark","Burglary","Per hundred thousand inhabitants","1,119.19",""
"2015","Denmark","Burglary of private residential premises","Per hundred thousand inhabitants","807.92",""
"2015","Denmark","Theft","Per hundred thousand inhabitants","3,990.80",""
"2015","Denmark","Theft of a motorized land vehicle","Per hundred thousand inhabitants","4.06",""
"2015","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","438.41",""
"2015","Germany (until 1990 former territory of the FRG)","Intentional homicide","Per hundred thousand inhabitants","0.81",""
"2015","Germany (until 1990 former territory of the FRG)","Attempted intentional homicide","Per hundred thousand inhabitants","1.91",""
"2015","Germany (until 1990 former territory of the FRG)","Assault","Per hundred thousand inhabitants","156.90",""
"2015","Germany (until 1990 former territory of the FRG)","Kidnapping","Per hundred thousand inhabitants","5.87",""
"2015","Germany (until 1990 former territory of the FRG)","Sexual violence","Per hundred thousand inhabitants","42.20",""
"2015","Germany (until 1990 former territory of the FRG)","Rape","Per hundred thousand inhabitants","8.65",""
"2015","Germany (until 1990 former territory of the FRG)","Sexual assault","Per hundred thousand inhabitants","33.55",""
"2015","Germany (until 1990 former territory of the FRG)","Robbery","Per hundred thousand inhabitants","55.01",""
"2015","Germany (until 1990 former territory of the FRG)","Burglary","Per hundred thousand inhabitants","571.36",""
"2015","Germany (until 1990 former territory of the FRG)","Burglary of private residential premises","Per hundred thousand inhabitants","205.84",""
"2015","Germany (until 1990 former territory of the FRG)","Theft","Per hundred thousand inhabitants","1,661.33",""
"2015","Germany (until 1990 former territory of the FRG)","Theft of a motorized land vehicle","Per hundred thousand inhabitants","69.66",""
"2015","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","348.05",""
"2015","Estonia","Intentional homicide","Per hundred thousand inhabitants","3.42",""
"2015","Estonia","Attempted intentional homicide","Per hundred thousand inhabitants","0.61",""
"2015","Estonia","Assault","Per hundred thousand inhabitants","7.45",""
"2015","Estonia","Kidnapping","Per hundred thousand inhabitants","0.00",""
"2015","Estonia","Sexual violence","Per hundred thousand inhabitants","21.60",""
"2015","Estonia","Rape","Per hundred thousand inhabitants","12.24",""
"2015","Estonia","Sexual assault","Per hundred thousand inhabitants","9.35",""
"2015","Estonia","Robbery","Per hundred thousand inhabitants","25.63",""
"2015","Estonia","Burglary","Per hundred thousand inhabitants",":",""
"2015","Estonia","Burglary of private residential premises","Per hundred thousand inhabitants","126.40",""
"2015","Estonia","Theft","Per hundred thousand inhabitants","863.51",""
"2015","Estonia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","38.41",""
"2015","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","378.90",""
"2015","Ireland","Intentional homicide","Per hundred thousand inhabitants","0.66",""
"2015","Ireland","Attempted intentional homicide","Per hundred thousand inhabitants","0.28",""
"2015","Ireland","Assault","Per hundred thousand inhabitants","75.04",""
"2015","Ireland","Kidnapping","Per hundred thousand inhabitants","1.97",""
"2015","Ireland","Sexual violence","Per hundred thousand inhabitants","44.38",""
"2015","Ireland","Rape","Per hundred thousand inhabitants","11.07",""
"2015","Ireland","Sexual assault","Per hundred thousand inhabitants","33.31",""
"2015","Ireland","Robbery","Per hundred thousand inhabitants","55.03",""
"2015","Ireland","Burglary","Per hundred thousand inhabitants","562.17",""
"2015","Ireland","Burglary of private residential premises","Per hundred thousand inhabitants",":",""
"2015","Ireland","Theft","Per hundred thousand inhabitants","1,618.98",""
"2015","Ireland","Theft of a motorized land vehicle","Per hundred thousand inhabitants","137.95",""
"2015","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","321.79",""
"2015","Greece","Intentional homicide","Per hundred thousand inhabitants","0.79",""
"2015","Greece","Attempted intentional homicide","Per hundred thousand inhabitants","1.56",""
"2015","Greece","Assault","Per hundred thousand inhabitants","14.96",""
"2015","Greece","Kidnapping","Per hundred thousand inhabitants","0.82",""
"2015","Greece","Sexual violence","Per hundred thousand inhabitants","5.10",""
"2015","Greece","Rape","Per hundred thousand inhabitants","1.12",""
"2015","Greece","Sexual assault","Per hundred thousand inhabitants","2.39",""
"2015","Greece","Robbery","Per hundred thousand inhabitants","39.75",""
"2015","Greece","Burglary","Per hundred thousand inhabitants","599.71",""
"2015","Greece","Burglary of private residential premises","Per hundred thousand inhabitants","221.24",""
"2015","Greece","Theft","Per hundred thousand inhabitants","928.39",""
"2015","Greece","Theft of a motorized land vehicle","Per hundred thousand inhabitants","245.51",""
"2015","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","99.35",""
"2015","Spain","Intentional homicide","Per hundred thousand inhabitants","0.65",""
"2015","Spain","Attempted intentional homicide","Per hundred thousand inhabitants","1.54",""
"2015","Spain","Assault","Per hundred thousand inhabitants","62.55",""
"2015","Spain","Kidnapping","Per hundred thousand inhabitants","0.20",""
"2015","Spain","Sexual violence","Per hundred thousand inhabitants","21.25",""
"2015","Spain","Rape","Per hundred thousand inhabitants","2.65",""
"2015","Spain","Sexual assault","Per hundred thousand inhabitants","18.60",""
"2015","Spain","Robbery","Per hundred thousand inhabitants","139.03",""
"2015","Spain","Burglary","Per hundred thousand inhabitants","425.04",""
"2015","Spain","Burglary of private residential premises","Per hundred thousand inhabitants","195.37",""
"2015","Spain","Theft","Per hundred thousand inhabitants","442.96",""
"2015","Spain","Theft of a motorized land vehicle","Per hundred thousand inhabitants","67.03",""
"2015","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","25.98",""
"2015","France","Intentional homicide","Per hundred thousand inhabitants","1.74",""
"2015","France","Attempted intentional homicide","Per hundred thousand inhabitants","3.26",""
"2015","France","Assault","Per hundred thousand inhabitants","364.25",""
"2015","France","Kidnapping","Per hundred thousand inhabitants","5.74",""
"2015","France","Sexual violence","Per hundred thousand inhabitants","50.06",""
"2015","France","Rape","Per hundred thousand inhabitants","19.28",""
"2015","France","Sexual assault","Per hundred thousand inhabitants","30.78",""
"2015","France","Robbery","Per hundred thousand inhabitants","156.59",""
"2015","France","Burglary","Per hundred thousand inhabitants","570.41",""
"2015","France","Burglary of private residential premises","Per hundred thousand inhabitants","348.61",""
"2015","France","Theft","Per hundred thousand inhabitants","2,101.67",""
"2015","France","Theft of a motorized land vehicle","Per hundred thousand inhabitants","252.78",""
"2015","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","11.25",""
"2015","Croatia","Intentional homicide","Per hundred thousand inhabitants","0.88",""
"2015","Croatia","Attempted intentional homicide","Per hundred thousand inhabitants","2.49",""
"2015","Croatia","Assault","Per hundred thousand inhabitants","19.03",""
"2015","Croatia","Kidnapping","Per hundred thousand inhabitants","0.00",""
"2015","Croatia","Sexual violence","Per hundred thousand inhabitants","14.32",""
"2015","Croatia","Rape","Per hundred thousand inhabitants","6.11",""
"2015","Croatia","Sexual assault","Per hundred thousand inhabitants","8.21",""
"2015","Croatia","Robbery","Per hundred thousand inhabitants","31.03",""
"2015","Croatia","Burglary","Per hundred thousand inhabitants","354.25",""
"2015","Croatia","Burglary of private residential premises","Per hundred thousand inhabitants","116.18",""
"2015","Croatia","Theft","Per hundred thousand inhabitants","320.62",""
"2015","Croatia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","17.99",""
"2015","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","67.26",""
"2015","Italy","Intentional homicide","Per hundred thousand inhabitants","0.77",""
"2015","Italy","Attempted intentional homicide","Per hundred thousand inhabitants","1.98",""
"2015","Italy","Assault","Per hundred thousand inhabitants","106.84",""
"2015","Italy","Kidnapping","Per hundred thousand inhabitants","0.47",""
"2015","Italy","Sexual violence","Per hundred thousand inhabitants","7.42",""
"2015","Italy","Rape","Per hundred thousand inhabitants",":",""
"2015","Italy","Sexual assault","Per hundred thousand inhabitants","6.58",""
"2015","Italy","Robbery","Per hundred thousand inhabitants","57.71",""
"2015","Italy","Burglary","Per hundred thousand inhabitants",":",""
"2015","Italy","Burglary of private residential premises","Per hundred thousand inhabitants","386.09",""
"2015","Italy","Theft","Per hundred thousand inhabitants","2,021.20",""
"2015","Italy","Theft of a motorized land vehicle","Per hundred thousand inhabitants","272.47",""
"2015","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","52.28",""
"2015","Cyprus","Intentional homicide","Per hundred thousand inhabitants","1.42",""
"2015","Cyprus","Attempted intentional homicide","Per hundred thousand inhabitants","1.30",""
"2015","Cyprus","Assault","Per hundred thousand inhabitants","16.65",""
"2015","Cyprus","Kidnapping","Per hundred thousand inhabitants","2.83",""
"2015","Cyprus","Sexual violence","Per hundred thousand inhabitants","4.01",""
"2015","Cyprus","Rape","Per hundred thousand inhabitants","2.36",""
"2015","Cyprus","Sexual assault","Per hundred thousand inhabitants","1.65",""
"2015","Cyprus","Robbery","Per hundred thousand inhabitants","10.98",""
"2015","Cyprus","Burglary","Per hundred thousand inhabitants","229.99",""
"2015","Cyprus","Burglary of private residential premises","Per hundred thousand inhabitants","160.80",""
"2015","Cyprus","Theft","Per hundred thousand inhabitants","108.38",""
"2015","Cyprus","Theft of a motorized land vehicle","Per hundred thousand inhabitants","113.46",""
"2015","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","111.45",""
"2015","Latvia","Intentional homicide","Per hundred thousand inhabitants","4.08",""
"2015","Latvia","Attempted intentional homicide","Per hundred thousand inhabitants","0.10",""
"2015","Latvia","Assault","Per hundred thousand inhabitants","26.89",""
"2015","Latvia","Kidnapping","Per hundred thousand inhabitants","0.86",""
"2015","Latvia","Sexual violence","Per hundred thousand inhabitants","23.46",""
"2015","Latvia","Rape","Per hundred thousand inhabitants","3.02",""
"2015","Latvia","Sexual assault","Per hundred thousand inhabitants","12.24",""
"2015","Latvia","Robbery","Per hundred thousand inhabitants","39.22",""
"2015","Latvia","Burglary","Per hundred thousand inhabitants","25.23",""
"2015","Latvia","Burglary of private residential premises","Per hundred thousand inhabitants","12.84",""
"2015","Latvia","Theft","Per hundred thousand inhabitants","976.14",""
"2015","Latvia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","74.67",""
"2015","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","177.69",""
"2015","Lithuania","Intentional homicide","Per hundred thousand inhabitants","5.75",""
"2015","Lithuania","Attempted intentional homicide","Per hundred thousand inhabitants","0.72",""
"2015","Lithuania","Assault","Per hundred thousand inhabitants","7.33",""
"2015","Lithuania","Kidnapping","Per hundred thousand inhabitants","0.00",""
"2015","Lithuania","Sexual violence","Per hundred thousand inhabitants","9.00",""
"2015","Lithuania","Rape","Per hundred thousand inhabitants","5.31",""
"2015","Lithuania","Sexual assault","Per hundred thousand inhabitants","3.70",""
"2015","Lithuania","Robbery","Per hundred thousand inhabitants","54.43",""
"2015","Lithuania","Burglary","Per hundred thousand inhabitants","102.66",""
"2015","Lithuania","Burglary of private residential premises","Per hundred thousand inhabitants","102.66",""
"2015","Lithuania","Theft","Per hundred thousand inhabitants","779.90",""
"2015","Lithuania","Theft of a motorized land vehicle","Per hundred thousand inhabitants","38.96",""
"2015","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","86.40",""
"2015","Luxembourg","Intentional homicide","Per hundred thousand inhabitants","0.89",""
"2015","Luxembourg","Attempted intentional homicide","Per hundred thousand inhabitants","11.55",""
"2015","Luxembourg","Assault","Per hundred thousand inhabitants","108.00",""
"2015","Luxembourg","Kidnapping","Per hundred thousand inhabitants","9.41",""
"2015","Luxembourg","Sexual violence","Per hundred thousand inhabitants","58.26",""
"2015","Luxembourg","Rape","Per hundred thousand inhabitants","12.08",""
"2015","Luxembourg","Sexual assault","Per hundred thousand inhabitants","51.16",""
"2015","Luxembourg","Robbery","Per hundred thousand inhabitants","98.41",""
"2015","Luxembourg","Burglary","Per hundred thousand inhabitants","640.90",""
"2015","Luxembourg","Burglary of private residential premises","Per hundred thousand inhabitants","478.90",""
"2015","Luxembourg","Theft","Per hundred thousand inhabitants","1,650.74",""
"2015","Luxembourg","Theft of a motorized land vehicle","Per hundred thousand inhabitants","359.88",""
"2015","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","830.43",""
"2015","Hungary","Intentional homicide","Per hundred thousand inhabitants","2.05",""
"2015","Hungary","Attempted intentional homicide","Per hundred thousand inhabitants","0.87",""
"2015","Hungary","Assault","Per hundred thousand inhabitants","126.55",""
"2015","Hungary","Kidnapping","Per hundred thousand inhabitants","0.11",""
"2015","Hungary","Sexual violence","Per hundred thousand inhabitants","17.11",""
"2015","Hungary","Rape","Per hundred thousand inhabitants","3.86",""
"2015","Hungary","Sexual assault","Per hundred thousand inhabitants","2.45",""
"2015","Hungary","Robbery","Per hundred thousand inhabitants","14.61",""
"2015","Hungary","Burglary","Per hundred thousand inhabitants","290.14",""
"2015","Hungary","Burglary of private residential premises","Per hundred thousand inhabitants","205.88",""
"2015","Hungary","Theft","Per hundred thousand inhabitants","1,129.57",""
"2015","Hungary","Theft of a motorized land vehicle","Per hundred thousand inhabitants","32.22",""
"2015","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","61.16",""
"2015","Malta","Intentional homicide","Per hundred thousand inhabitants","0.93",""
"2015","Malta","Attempted intentional homicide","Per hundred thousand inhabitants","0.23",""
"2015","Malta","Assault","Per hundred thousand inhabitants","42.62",""
"2015","Malta","Kidnapping","Per hundred thousand inhabitants","0.00",""
"2015","Malta","Sexual violence","Per hundred thousand inhabitants","24.22",""
"2015","Malta","Rape","Per hundred thousand inhabitants","5.36",""
"2015","Malta","Sexual assault","Per hundred thousand inhabitants","18.87",""
"2015","Malta","Robbery","Per hundred thousand inhabitants","56.37",""
"2015","Malta","Burglary","Per hundred thousand inhabitants","317.00",""
"2015","Malta","Burglary of private residential premises","Per hundred thousand inhabitants","165.83",""
"2015","Malta","Theft","Per hundred thousand inhabitants","2,015.40",""
"2015","Malta","Theft of a motorized land vehicle","Per hundred thousand inhabitants","53.34",""
"2015","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","35.71",""
"2015","Netherlands","Intentional homicide","Per hundred thousand inhabitants","18.82",""
"2015","Netherlands","Attempted intentional homicide","Per hundred thousand inhabitants",":",""
"2015","Netherlands","Assault","Per hundred thousand inhabitants","30.18",""
"2015","Netherlands","Kidnapping","Per hundred thousand inhabitants","2.57",""
"2015","Netherlands","Sexual violence","Per hundred thousand inhabitants","24.61",""
"2015","Netherlands","Rape","Per hundred thousand inhabitants","7.48",""
"2015","Netherlands","Sexual assault","Per hundred thousand inhabitants","10.12",""
"2015","Netherlands","Robbery","Per hundred thousand inhabitants","57.57",""
"2015","Netherlands","Burglary","Per hundred thousand inhabitants","571.51",""
"2015","Netherlands","Burglary of private residential premises","Per hundred thousand inhabitants","392.44",""
"2015","Netherlands","Theft","Per hundred thousand inhabitants","1,982.87",""
"2015","Netherlands","Theft of a motorized land vehicle","Per hundred thousand inhabitants","212.51",""
"2015","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","82.03",""
"2015","Austria","Intentional homicide","Per hundred thousand inhabitants","0.49",""
"2015","Austria","Attempted intentional homicide","Per hundred thousand inhabitants","1.12",""
"2015","Austria","Assault","Per hundred thousand inhabitants","40.31",""
"2015","Austria","Kidnapping","Per hundred thousand inhabitants","0.03",""
"2015","Austria","Sexual violence","Per hundred thousand inhabitants","40.57",""
"2015","Austria","Rape","Per hundred thousand inhabitants","13.18",""
"2015","Austria","Sexual assault","Per hundred thousand inhabitants","23.43",""
"2015","Austria","Robbery","Per hundred thousand inhabitants","39.83",""
"2015","Austria","Burglary","Per hundred thousand inhabitants","922.92",""
"2015","Austria","Burglary of private residential premises","Per hundred thousand inhabitants","180.92",""
"2015","Austria","Theft","Per hundred thousand inhabitants","1,635.37",""
"2015","Austria","Theft of a motorized land vehicle","Per hundred thousand inhabitants","113.60",""
"2015","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","385.72",""
"2015","Poland","Intentional homicide","Per hundred thousand inhabitants","0.76",""
"2015","Poland","Attempted intentional homicide","Per hundred thousand inhabitants","0.45",""
"2015","Poland","Assault","Per hundred thousand inhabitants","18.31",""
"2015","Poland","Kidnapping","Per hundred thousand inhabitants","0.65",""
"2015","Poland","Sexual violence","Per hundred thousand inhabitants","7.25",""
"2015","Poland","Rape","Per hundred thousand inhabitants","1.73",""
"2015","Poland","Sexual assault","Per hundred thousand inhabitants","1.11",""
"2015","Poland","Robbery","Per hundred thousand inhabitants","26.86",""
"2015","Poland","Burglary","Per hundred thousand inhabitants","249.12",""
"2015","Poland","Burglary of private residential premises","Per hundred thousand inhabitants","30.04",""
"2015","Poland","Theft","Per hundred thousand inhabitants","382.08",""
"2015","Poland","Theft of a motorized land vehicle","Per hundred thousand inhabitants","40.28",""
"2015","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","144.76",""
"2015","Portugal","Intentional homicide","Per hundred thousand inhabitants","0.96",""
"2015","Portugal","Attempted intentional homicide","Per hundred thousand inhabitants",":",""
"2015","Portugal","Assault","Per hundred thousand inhabitants","4.52",""
"2015","Portugal","Kidnapping","Per hundred thousand inhabitants","3.56",""
"2015","Portugal","Sexual violence","Per hundred thousand inhabitants","23.57",""
"2015","Portugal","Rape","Per hundred thousand inhabitants","3.61",""
"2015","Portugal","Sexual assault","Per hundred thousand inhabitants","19.95",""
"2015","Portugal","Robbery","Per hundred thousand inhabitants","149.13",""
"2015","Portugal","Burglary","Per hundred thousand inhabitants","283.24",""
"2015","Portugal","Burglary of private residential premises","Per hundred thousand inhabitants","156.01",""
"2015","Portugal","Theft","Per hundred thousand inhabitants","832.95",""
"2015","Portugal","Theft of a motorized land vehicle","Per hundred thousand inhabitants","115.83",""
"2015","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","51.07",""
"2015","Romania","Intentional homicide","Per hundred thousand inhabitants","1.46",""
"2015","Romania","Attempted intentional homicide","Per hundred thousand inhabitants","2.43",""
"2015","Romania","Assault","Per hundred thousand inhabitants","1.50",""
"2015","Romania","Kidnapping","Per hundred thousand inhabitants","1.48",""
"2015","Romania","Sexual violence","Per hundred thousand inhabitants","8.76",""
"2015","Romania","Rape","Per hundred thousand inhabitants","5.11",""
"2015","Romania","Sexual assault","Per hundred thousand inhabitants","0.40",""
"2015","Romania","Robbery","Per hundred thousand inhabitants","16.90",""
"2015","Romania","Burglary","Per hundred thousand inhabitants","148.77",""
"2015","Romania","Burglary of private residential premises","Per hundred thousand inhabitants","76.07",""
"2015","Romania","Theft","Per hundred thousand inhabitants","545.72",""
"2015","Romania","Theft of a motorized land vehicle","Per hundred thousand inhabitants","23.45",""
"2015","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","21.28",""
"2015","Slovenia","Intentional homicide","Per hundred thousand inhabitants","0.97",""
"2015","Slovenia","Attempted intentional homicide","Per hundred thousand inhabitants","1.26",""
"2015","Slovenia","Assault","Per hundred thousand inhabitants","74.65",""
"2015","Slovenia","Kidnapping","Per hundred thousand inhabitants","0.15",""
"2015","Slovenia","Sexual violence","Per hundred thousand inhabitants","12.51",""
"2015","Slovenia","Rape","Per hundred thousand inhabitants","2.04",""
"2015","Slovenia","Sexual assault","Per hundred thousand inhabitants","1.45",""
"2015","Slovenia","Robbery","Per hundred thousand inhabitants","11.25",""
"2015","Slovenia","Burglary","Per hundred thousand inhabitants","496.93",""
"2015","Slovenia","Burglary of private residential premises","Per hundred thousand inhabitants","151.10",""
"2015","Slovenia","Theft","Per hundred thousand inhabitants","1,105.16",""
"2015","Slovenia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","37.57",""
"2015","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","84.20",""
"2015","Slovakia","Intentional homicide","Per hundred thousand inhabitants","0.89",""
"2015","Slovakia","Attempted intentional homicide","Per hundred thousand inhabitants","0.89",""
"2015","Slovakia","Assault","Per hundred thousand inhabitants","35.73",""
"2015","Slovakia","Kidnapping","Per hundred thousand inhabitants","1.57",""
"2015","Slovakia","Sexual violence","Per hundred thousand inhabitants","11.90",""
"2015","Slovakia","Rape","Per hundred thousand inhabitants","1.60",""
"2015","Slovakia","Sexual assault","Per hundred thousand inhabitants","1.38",""
"2015","Slovakia","Robbery","Per hundred thousand inhabitants","9.94",""
"2015","Slovakia","Burglary","Per hundred thousand inhabitants","126.57",""
"2015","Slovakia","Burglary of private residential premises","Per hundred thousand inhabitants","35.49",""
"2015","Slovakia","Theft","Per hundred thousand inhabitants","444.37",""
"2015","Slovakia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","35.64",""
"2015","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","32.28",""
"2015","Finland","Intentional homicide","Per hundred thousand inhabitants","1.50",""
"2015","Finland","Attempted intentional homicide","Per hundred thousand inhabitants","5.46",""
"2015","Finland","Assault","Per hundred thousand inhabitants","28.56",""
"2015","Finland","Kidnapping","Per hundred thousand inhabitants","0.02",""
"2015","Finland","Sexual violence","Per hundred thousand inhabitants","50.97",""
"2015","Finland","Rape","Per hundred thousand inhabitants","19.23",""
"2015","Finland","Sexual assault","Per hundred thousand inhabitants","31.74",""
"2015","Finland","Robbery","Per hundred thousand inhabitants","28.29",""
"2015","Finland","Burglary","Per hundred thousand inhabitants","450.66",""
"2015","Finland","Burglary of private residential premises","Per hundred thousand inhabitants","109.40",""
"2015","Finland","Theft","Per hundred thousand inhabitants","2,233.76",""
"2015","Finland","Theft of a motorized land vehicle","Per hundred thousand inhabitants","136.17",""
"2015","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","428.25",""
"2015","Sweden","Intentional homicide","Per hundred thousand inhabitants","1.15",""
"2015","Sweden","Attempted intentional homicide","Per hundred thousand inhabitants","8.60",""
"2015","Sweden","Assault","Per hundred thousand inhabitants","47.66",""
"2015","Sweden","Kidnapping","Per hundred thousand inhabitants",":",""
"2015","Sweden","Sexual violence","Per hundred thousand inhabitants","156.32",""
"2015","Sweden","Rape","Per hundred thousand inhabitants","56.88",""
"2015","Sweden","Sexual assault","Per hundred thousand inhabitants","95.61",""
"2015","Sweden","Robbery","Per hundred thousand inhabitants","86.80",""
"2015","Sweden","Burglary","Per hundred thousand inhabitants","869.76",""
"2015","Sweden","Burglary of private residential premises","Per hundred thousand inhabitants","391.28",""
"2015","Sweden","Theft","Per hundred thousand inhabitants","4,006.17",""
"2015","Sweden","Theft of a motorized land vehicle","Per hundred thousand inhabitants","264.12",""
"2015","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","990.61",""
"2015","England and Wales","Intentional homicide","Per hundred thousand inhabitants","0.99",""
"2015","England and Wales","Attempted intentional homicide","Per hundred thousand inhabitants",":",""
"2015","England and Wales","Assault","Per hundred thousand inhabitants","746.83",""
"2015","England and Wales","Kidnapping","Per hundred thousand inhabitants","5.23",""
"2015","England and Wales","Sexual violence","Per hundred thousand inhabitants","166.28",""
"2015","England and Wales","Rape","Per hundred thousand inhabitants","62.18",""
"2015","England and Wales","Sexual assault","Per hundred thousand inhabitants","71.74",""
"2015","England and Wales","Robbery","Per hundred thousand inhabitants","88.70",""
"2015","England and Wales","Burglary","Per hundred thousand inhabitants","695.62",""
"2015","England and Wales","Burglary of private residential premises","Per hundred thousand inhabitants","337.18",""
"2015","England and Wales","Theft","Per hundred thousand inhabitants","2,354.78",""
"2015","England and Wales","Theft of a motorized land vehicle","Per hundred thousand inhabitants","142.02",""
"2015","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","45.90",""
"2015","Scotland","Intentional homicide","Per hundred thousand inhabitants","1.10",""
"2015","Scotland","Attempted intentional homicide","Per hundred thousand inhabitants","5.47",""
"2015","Scotland","Assault","Per hundred thousand inhabitants","69.34",""
"2015","Scotland","Kidnapping","Per hundred thousand inhabitants","4.26",""
"2015","Scotland","Sexual violence","Per hundred thousand inhabitants","173.76",""
